spp,Lifeform,scientificNameAuthorship,Species,genus,Native_nonnative,fac.obl,perennial_annual,other,subspecies,notes
ACHMIL,FB,L. ,Achillea,millefolium,native,,,,,
ACMAME,FB,(Nutt.) Rydb.,Acmispon,americanus,native,,,,var. americanus,
ACMBRA,FB,(Benth.)D.D.Sokoloff,Acmispon,brachycarpus,native,,,,,
ACMGLA,FB,(Vogel) Brouillet,Acmispon,glaber,native,OBL-S,P,N-fixer,,
ACMWRA,FB,(Fisch. & C.A. Mey.) D.D. Sokoloff,Acmispon ,wrangelianus,native,,,,,
AGOGRA,FB,(Nutt.) Greene,Agoseris,grandiflora,native,,,,,
ALLGIL,FB,(Benth.) A.D. Grant and V.E. Grant,Allophyllum,gilioides,native,,,,,
AMSINT,FB,Fisch. & Mey.,Amsinckia ,intermedia,native,,,,,
AMSMEN,FB,(Lehm.) A.Nelson & J.F.Macbr.,Amsinckia ,menziesii,native,,,,,
ANTVEX,FB,Kellogg,Antirrhinum ,vexillo-calyculatum,native,,,,,
APHOCC,FB,(Nutt.) Rydb.,Aphanes ,occidentalis,native,,,,,
APIANG,FB,Nutt. ,Apiastrum,angustifolium,native,,,,,
ASCCOR,FB,(Benth.) Jeps.,Asclepias,cordifolia,native,,,,,
ASCSOL,FB,Woodson,Asclepias,solanoana,native,,,rare 4.2,,
ASTGAM,FB,E. Sheld.,Astragalus,gambelianus,native,,,,,
ASTER,FB,,Aster,,,,,,,
ATHPUS,FB,(Hook.) Greene,Athysanus,pusillus  ,native,,,,,
BARORT,FB,Ledeb.,Barbarea,orthoceras,native,,,,,
brodiea,FB,,Brodiea,unk,native,,,,,prob elegans
BROMAD,FB,L.,Bromus,madritensis,non-native,,,,,
CALAMA,FB,Purdy,Calochortus,amabilis,native,,,,,
CALBRE,FB,S. Watson,Calandrinia,breweri,native,,,rare,,
CALMEN,FB,(Hook.) Torrey & A. Gray,Calandrinia,menziesii,native,,,,,
CALPUR,FB,(Greene) Brummitt,Calystegia,purpurata,native,,,,ssp. purpurata,
CALSPL,FB,Douglas ex Benth.,Calochortus,splendens,native,,,,,
CAMINT,FB,(P.H. Raven) W.L. Wagner & Hoch,Camissoniopsis,intermedia,native,,,,,
CAROLI,FB,Nutt.,Cardamine ,oligosperma,native,,,,,
CARPYC,FB,L.,Carduss,pycnocephalus,invasive non-native,,,,,
CAMPANULACEAE,FB,,,,,,,,,
CASTILLEJA,FB,,Castilleja,,,,,,,
CASAFF,FB,Hook. & Arn.,Castilleja,affinis,native,,,,,
CASATT,FB,(A. Gray) T.I. Chuang & Heckard,Castilleja,attenuata,native,,,,,
CASFOL,FB,Hook. & Arn.,Castilleja,foliolosa,native,,,,,
CAULAS,FB,(Hook. & Arn.) Payson,Caulanthus,lasiophyllus,native,,,,,
CENMEL,FB,L.,Centaurea,melitensis,invasive non-native,,,,,
CENSOL,FB,L.,Centaurea,solstitialis,invasive non-native,,,,,
CERGLO,FB,Thuill.,Cerastium ,glomeratum,non-native,,,,,
CHLPOM,FB,(DC.) Kunth,Chlorogalum ,pomeridianum,native,,,,,
CIRSIUM,FB,,Cirsium,,,,,,,
CLACON,FB,(Fisch. & C.A. Mey.) Greene,Clarkia,concinna,native,,,,,
CLAGRA,FB,Douglas ex Hook.,Claytonia,parviflora,native,,,rare: 4.2,ssp. grandiflora,
CLAPAR,FB,Douglas ex Hook.,Claytonia ,parviflora,native,,,,,
CLAUNG,FB,Lindl.,Clarkia,unguiculata,native,,,,,
CLAPUR,FB,(W. Curtis) A. Nelson & J.F. Macbr.,Clarkia,purpurea,native,,,,,
CLARKIA,FB,,Clarkia,,native,,,,,
CLELAS,FB,Nutt.,Clematis,lasiantha,native,,,,,
COLLINSIA,FB,,Collinsia ,,native,,,,,
COLGRA,FB,Lindl.,Collinsia ,grandiflora,native,,,,,
COLHET,FB,Buist ex R. Grah.,Collinsia ,heterophylla,native,,,,,
COLSPA,FB,Fisch. & C.A. Mey.,Collinsia ,sparsiflora,native,,,,,
CRACON,FB,(Ruiz & Pav.) A. Berger,Crassula,connata,native,,,,,
CROSCO,FB,Millsp.,Crocanthemum ,scoparium,native,,,,,
CRYPTANTHA,FB,,Cryptantha,,native,,,,,
CRYMUR,FB,(Hook. & Arn.) A. Nels. & Macbr.,Cryptantha,muricata,native,,,,,
CYNGRA,FB,Dougl. ex Lehm.,Cynoglossum,grande,native,,,,,
DAUPUS,FB,Michx.,Daucus,pusillus,native,,,,,
delphinium,fb,,Delphinium,,native,,,,,
DICFOR,FB,(Haw.) Walp.,Dicentra ,formosa,native,,,,,HDS @ cache - might want to check this isn't ehrenburgia?
DICVOL,FB,(Kellogg) A. Heller,Dichelostemma,volubile,native,,,,,
DIPCAP,FB,(Benth.) Rydb.,Dipterostemon,capitatus,native,,,,,
EHRCHR,FB,(Hook. & Arn.) Rylander,Ehrendorferia,chrysantha,native,,,,,
EMMPEN,FB,Benth.,Emmenanthe,penduliflora,native,,,,,
EPIBRA,FB,C. Presl,Epilobium ,brachycarpum,native,,,,,
EPIMIN,FB,Lindl. ex Lehm.,Epilobium ,minutum,native,,,,,
ERIDAS,FB,Torr. & A. Gray,Eriogonum,dasyanthemum,native,,,,,
ERILAN,FB,(Pursh) Forbes,Eriophyllum,lanatum,native,,,,,
EROBOT,FB,(Cav.) Bertol.,Erodium,botrys,non-native,,,,,
EROBRA,FB,(Godr.) Thell.,Erodium,brachycarpum,non-native,,,,,
EROCIC,FB,(L.) L'Hér. ex Aiton,Erodium,cicutarium,invasive non-native,,,,,
EROMOS,FB,(L.) L'Hér. ex Aiton,Erodium,moschatum,non-native,,,,,
ESCCAE,FB,Benth.,Eschscholzia ,caespitosa,native,,,,,
ESCCAL,FB,Cham.,Eschscholzia ,californica,native,,,,,
FESBRO,FB,L.,Festuca,bromoides,non-native,,,,,
FRIAFF,FB,(Schult. & Schult.f.) Sealy,Fritillaria,affinis,native,,,,,
GALAND,FB,A. Gray,Galium,andrewsii,native,,,,,
GALAPA,FB,L.,Galium,aparine,native,,,,,
GALBOL,FB,A. Gray,Galium,bolanderi,native,,,,,
GALMUR,FB,(L.) All.,Galium,murale,non-native,,,,,
GALPAR,FB,L.,Gallium,parisene,non-native,,,,,
GALPOR,FB,(Dempster) Dempster,Gallium,porrigens,native,,,,,
GERDIS,fb,L.,Geranium,dissectum,invasive non-native,,,,,
GERMOL,FB,L.,Geranium,molle,non-native,,,,,
GILCAP,FB,Sims,Gilia,capitata ,native,,,,,
GITSPE,FB,Nutt.,Githopsis,specularioides,native,,,,,
HELCAL,FB,A. Gray,Helianthella,californica ,native,,,,,
HELECH,FB,(L) Holub,Helminthotheca,echioides,invasive non-native,,,,,
HESMIC,FB,(A. Gray) Small,Hesperolinon,micranthum,native,,,,,
HYPGLA,FB,L.,Hypocheris,glabra,invasive non-native,,,,,
HYPRAD,FB,L.,Hypocheris,radicata,invasive non-native,,,,,
LACSER,FB,L. ,Lactuca,serriola,non-native,,,,,
LATVES,FB,Nutt.,Lathyrus,vestitus,native,,,,var. vestitus,
LEPBIC,FB,Nutt.,Leptosiphon,bicolor,native,,,,,
LEPCAL,FB,(Benth.) Epling,Lepechinia,calycina,native,FAC,P,,,
lilium,FB,,,,native,,,,,
lithophragma,FB,,Lithophragma,,native,,,,,
LOGFIL,FB,(Hook. & Arn.) Morefield,Logfia,filinoides,native,,,,,
LOGGAL,FB,(L.) Coss. & Germ.,Logfia,gallica,non-native,,,,,
LOMCAL,FB,(Nutt. ex Torr. & Gray) Mathias & Constance,Lomatium,californicum,nativ,,,,,
LOMMAC,FB,(Hook. & Arn.) Coult. & Rose,Lomatium,macrocarpum,native,,,,,
LOMUTR,FB,(Nutt. ex Torr. & Gray) Coult. & Rose,Lomatium,utriculatum,native,,,,,
LUPALB,FB,Benth.,Lupinus,albifrons,native,,,,,
LUPBIC,FB,Lindl.,Lupinus,bicolor,native,,,,,
LUPNAN,FB,Douglas ex Benth.,Lupinus,nanus,native,,,,,
LUPSUC,FB,Douglas ex K. Koch,Lupinus,succulentus,native,,,,,
LYSARV,FB,(L.) U. Manns & Anderb.,Lysimachia,arvensis,non-native,,,,,
MADELE,FB,D. Don,Madia,elegans,native,,,,,
MADEXI,FB,(Sm.) Greene,Madia,exigua,native,,,,,
MADGRA,FB,(Sm.) Keck & J. Clausen ex Applegate,Madia,gracilis,native,,,,,
Madia,FB,,Madia,,native,,,,,
MALFLO,FB,(DC.) S.F.Blake,Malacothrix,floccifera,native,,,,,
Marah,FB,,Marah,sp,native,,,,,
MARFAB,FB,(Naudin) Greene,Marah,fabaceae,native,,,,,
MARWAT,FB,(Cogn.) Greene,Marah,watsonii,native,,,,,
MEDPOL,FB,L. ,Medicago,polymorpha,invasive non-native,,,,,
MICCAL,FB,Fisch. & C. A. Mey.,Micropus ,californicus,native,,,,,
MONVIL,FB,Benth.,Monardella,villosa,native,,,,,
NEMHET,FB,Fisch. & Mey.,Nemophila,heterophylla,native,,,,,
NEMMEN,FB,Hook. & Arnott,Nemophila,menziesii,native,,,,,
PEDDEN,FB,Benth. ex Hook.,Pedicularis,densiflora,native,,,,,
PHACELIA,FB,,Phacelia,,native,,,,,
PHADIS,FB,Benth.,Phacelia,distans,native,,,,,
PHAIMB,FB,Greene,Phacelia,imbricata,native,,,,ssp. imbricata,
PIPELE,FB,(Lindl.) Rydb.,Piperia,elegans,native,,,,,
PIPERIA,FB,,Piperia,sp,native,,,,,
PLAERE,FB,E. Morris,Plantago,erecta,native,,,,,
PLANOT,FB,(A. Gray) A. Gray,Plagiobothrys,nothofulvus,native,,,,,
PLECTRITIS,FB,,Plectritis ,sp,native,,,,,
PLEMAC,FB,Torr. & Gray,Plectritis ,macrocera,native,,,,,
PRIHEN,FB,(A. Gray) A.R. Mast & Reveal,Primula ,hendersonii,native,,,,,
RAFCAL,FB,Nutt.,Rafinesquia ,californica,native,,,,,
RANHEB,FB,Hook. & Arn.,Ranunculus,hebecarpus,native,,,,,
SALCOL,FB,Benth.,Salvia,columbariae,native,,,,,
SANBIP,FB,Dougl.,Sanicula,bipinnatifida,native,,,,,
SANCRA,FB,Poepp. ex DC.,Sanicula,carassicaulis,native,,,,,
SCRCAL,FB,Cham. & Schltdl.,Scrophularia,californica,native,,,,,
SCUTUB,FB,Benth.,Scutellaria,tuberosa,native,,,,,
SENVUL,FB,L. ,Senecio,vulgaris,non-native,,,,,
SILANT,FB,L. ,Silene ,antirrhina,native,,,,,
SILGAL,FB,L. ,Silene ,gallica,non-native,,,,,
SILMAR,FB,(L.) Gaertn.,Silybum,marianum,invasive non-native,,,,,
SOLXAN,FB,A. Gray,Solanum,xanti,native,,,,,
SONASP,FB,(L.) Hill,Sonchus,asper,non-native,,,,,
SONOLE,FB,L.,Sonchus,oleraceus,non-native,,,,,
STAAJU,FB,Benth.,Stachys,ajugoides,native,,,,,
STARIG,FB,Nutt. ex Benth.,Stachys,rigida,native,,,,,
STEMED,FB,(L.) Vill.,Stellaria,media,non-native,,,,,
STRGLA,FB,Hook.,Streptanthus,glandulosus,native,,,,,
THYCUR,FB,Hook. ,Thysanocarpus ,curvipes,native,,,,,
TORARV,FB,(Huds.) Link,Torilis,arvensis,invasive non-native,,,,,
Torilis,FB,,Torilis,,non-native,,,,,
TORNOD,FB,(L.) Gaertner,Torilis,nodosa,non-native,,,,,
TOXFRE,FB,(Torr.) Rydb.,Toxicoscordion,fremontii,native,,,,,
TRIFOLIUM,FB,,Trifolium,,,,,,,
TRIALB,FB,Torr. & A. Gray,Trifolium,albopurpureum,native,,,,,
TRIBIF,FB,A. Gray,Trifolium,bifidum,native,,,,,
TRICIL,FB,Benth.,Trifolium,ciliolatum,native,,,,,
TRIHIR,FB,All.,Trifolium,hirtum,invasive non-native,,,,,
TRILAX,FB,Benth.,Triteleia,laxa,native,,,,,
TRIMIC,FB,Pursh,Trifolium,microcephalum,native,,,,,
TRIMIC2,FB,Hook. & Arn.,Trifolium,microdon,native,,,,,
TRIWIL,FB,Spreng.,Trifolium,willdenovii,native,,,,,
TRIFOLIUM,FB,,Trifolium,,,,,,,
UROLIN,FB,(DC.) Nutt.,Uropappus ,lindleyi,native,,,,,
VICSAT,FB,L. ,Vicia,sativa,non-native,,,,,
VICVIL,FB,Roth,Vicia ,villosa,non-native,,,,,
WYEANG,FB,(DC.) Nutt.,Wyethia ,angustifolia,native,,,,,
YABMIC,FB,(Hook. & Arn.) Koso-Pol.,Yabea ,microcarpa,native,,,,,
unknown_forb,FB,,,,,,,,,
ADIJOR,FERN,C.H. Mull.,Adiantum,jordanii,native,,,,,
PELAND,FERN,(Kaulf.) Fée,Pellaea,andromedifolia,native,,,,,
PELMUC,FERN,(D.C. Eaton) D.C. Eaton,Pellaea,mucronata,native,,,,,
PENTRI,fern,"(Kaulf.) Yatsk., Windham & E. Wollenw.",Pentagramma,triangularis,native,,,,,
FESOCT,GF,Walter,Festuca,octoflora,native,,,,,
MELCAL,GF,Scribn.,Melica ,californica,native,,,,,
AIRCAR,GR,L. ,Aira,caryophyllea,non-native,,,,,
AVEBAR,GR,Pott ex Link,Avena ,barbata,invasive non-native,,,,,
BRADIS,GR,(L.) P. Beauv.,Brachypodium,distachyon,invasive non-native,,,,,
BRIMIN,GR,L. ,Briza,minor,non-native,,,,,
BROHOR,GR,L.,Bromus,hordeaceus,invasive non-native,,,,,
CYNECH,GR,L.,Cynosurus,echinatus,invasive non-native,,,,,
DESDAN,GR,(Trin.) Munro,Deschampsia,danthonioides,native,,,,,
FESTUCA,GR,,Festuca,,,,,,,
FESMIC,GR,Nutt.,Festuca,microstachys,native,,,,,
FESMYU,GR,L. ,Festuca,myuros,invasive non-native,,,IPC: moderate,,
GASPHL,GR,(Nees & Meyen) C.E. Hubb.,Gastridium,phleoides,non-native,,,,,
GRASS_UNK,GR,,,,,,,,,
HORMUR,GR,L. ,Hordeum,murinum,invasive non-native,,,,,
KOEMAC,GR,(Ledeb.) Schult.,Koeleria,macrantha,native,,,,,
MELTOR,GR,Scribn.,Melica ,torreyana,native,,,,,
MELIMP,GR,Trin.,Melica ,imperfecta,native,,,,,
MELICA,GR,,Melica ,,native,,,,,
PHALARIS,GR,,,,,,,,,
POASEC,GR,J. Presl,Poa ,secunda,native,,,,,
STILEP,GR,Hitchc.,Stipa,lepida,native,,,,,
STIPUL,GR,Hitchc.,Stipa ,pulchra,native,,,,,
ADFA,SH,Hook. & Arn.,Adenostoma,fasciculatum,native,FAC,P,,,
ARCMAN,SH,Parry,Arctostaphylos,manzanita,native,OBL-S,P,,,
BACPIL,SH,DC.,Baccharis,pilularis,native,OBL-R,P,,,
CEACUN,SH,(Hook.) Nutt.,Ceanothus,cuneatus,native,OBL-S,P,,,
ceanothus,SH,,Ceanothus,,native,OBL-S,P,,,
CEAOLI,SH,Nutt.,Ceanothus,oliganthus,native,OBL-S,P,,,
CERBET,SH,Nutt.,Cercocarpus,betuloides,native,OBL-R,P,,,
ERICAL,SH,(Hook. & Arn.) Greene,Eriodictyon,californicum,native,FAC,P,,,
ERINUD,SH,Douglas ex Benth.,Eriogonum,nudum,native,,P,,,
FRACAL,SH,(Eschsch.) A. Gray,Frangula,californica,native,OBL-R,P,,,
GARRYA,SH,,Garrya,,native,FAC,P,,,
HEAR,SH,(Lindl.) M. Roem.,Heteromeles,arbutifolia,native,OBL-R,P,,,
HOLDIS,SH,(Pursh) Maxim.,Holodiscus,discolor,native,FAC,P,,,
MIMAUR,SH,Curtis,Mimulus ,aurantiacus,native,FAC,P,,,
QUEBER,SH,Liebm.,Quercus,berberidifolia,native,OBL-R,P,,,
RHACAL,SH,Eschsch.,Rhamnus,californica,native,OBL-R,P,,,
RHAILI,SH,Kellogg,Rhamnus,ilicifolia,native,OBL-R,P,,,
RIBMAL,SH,Sm.,Ribes,malvaceum,native,FAC,P,,,
SAMNIG,SH,(Raf.) R. Bolli,Sambucus,nigra,native,FAC,P,,subsp. caerulea,was SAMMEX
SYMALB,SH,(Fern.) Blake,Symphoricarpos,albens,native,,P,,,
SYMMOL,SH,Nutt. ex Torr. & Gray,Symphoricarpos,mollis,native,,P,,,
TOXDIV,SH,(Torr. & A. Gray) Greene,Toxicodendron,diversilobum,native,FAC,P,,,
AESCAL,TR,(Spach) Nutt.,Aesculus ,californica,native,FAC,,,,
FRADIP,TR,Hook. & Arn.,Fraxinus ,dipetala,native,,,,,
QUEDOU,TR,Hook. & Arn.,Quercus,douglasii,native,,,,,
Quercus,TR,,Quercus,sp.,native,,,,,
QUWI,TR,A. DC.,Quercus,wislizeni,native,OBL-R,P,,,
UMBCAL,TR,(Hook. & Arn.) Nutt.,Umbellularia,californica,native,,,,,
